COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,Disaster Risk Reduction,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK
Peru,PER,9.9,6.1,10,0,4.9,7.7,5.6,0,3.9,6.2,2.1,5.5,0.4,2.5,6,1,1.1,1.3,3,1.6,4.2,3.4,3.7,5.7,4.7,3.7,5,5.8,4.8,4.8,4.6
Eritrea,ERI,2.2,2.7,0,0,6.9,2.8,2.2,0,1.6,2.2,8.8,no estimate,1.9,6.5,3.8,1.4,5.8,0,9.8,5.9,4.9,5.7,no estimate,8,8,8.1,9.2,5,7.4,7.7,4.6
Cambodia,KHM,0,10,2.9,0,3.6,5,5.2,0,3.7,4.4,4.7,5,3.1,4.3,0,4,4.7,0.2,4.7,3.6,2,3.2,6.8,7.4,7.1,6.2,7.1,6.9,6.7,6.9,4.6
Russian Federation,RUS,6.9,7.9,0,1.1,4,4.7,9.3,7,7,6,2.6,4,0,2.3,6.4,2.2,0.8,0,1.8,1.2,4.3,3.4,no estimate,6.5,6.5,1.9,4.5,1.8,2.7,4.9,4.6
Mexico,MEX,8.5,7.8,7.5,8.4,3.7,7.5,9.5,9,9,8.3,1.8,5.3,0.1,2.2,5.4,0.3,0.9,0,1.6,0.7,3.4,2.8,2.8,5.5,4.1,4.4,3.8,3.9,4.1,4.1,4.6
Azerbaijan,AZE,8,5.4,0,0,2.6,4,5.3,0,3.7,3.8,1.8,3.4,0.9,1.9,8.9,0.9,2.2,0.1,1.3,1.1,6.4,4.5,no estimate,6.6,6.6,3.1,4,6.1,4.4,5.6,4.6
Congo,COG,1.2,4.3,0,0,0,1.3,4.7,0,3.3,2.3,4.7,6.9,1.4,4.4,6,8.4,3.2,0.1,7.9,5.9,5.9,5.2,no estimate,7.6,7.6,6.9,8.1,8.1,7.7,7.7,4.5
Djibouti,DJI,4.6,2,0,0,9.6,4.6,0.6,0,0.4,2.8,5.4,3.7,4.5,4.7,5.6,4.2,6,0,4.8,4,4.9,4.8,5.5,6.9,6.2,9.1,5,7.6,7.3,6.8,4.5
Sri Lanka,LKA,0,8.3,10,3.2,2.7,6.4,7.4,0,5.2,5.8,3.1,4,0.9,2.7,5.6,0.7,2.8,3.4,4.7,3,4.4,3.6,3.6,5.9,4.8,4.4,0.7,6.1,3.7,4.3,4.5
Tajikistan,TJK,9.5,6,0,0,5.7,5.5,7.2,0,5,5.3,3.2,3.3,2.7,3.1,1.7,1.2,3.3,0.1,8,3.9,2.9,3,4.6,7.5,6,4.7,5,5.4,5.1,5.6,4.4
Burkina Faso,BFA,0,4.6,0,0,5.6,2.4,2.6,0,1.9,2.1,8.6,5.9,5.1,7,4.4,4.5,6.6,4.2,5,5.2,4.8,6,3.3,6.2,4.8,8.9,7.5,7.6,8,6.7,4.4
China,CHN,8,8.3,7.7,9.3,4.6,7.9,9,0,6.3,7.2,2.1,3.5,0,1.9,5.2,0.7,0.9,1.6,3.6,1.8,3.7,2.9,2.5,5.5,4,3.2,4.2,5,4.1,4.1,4.4
Vanuatu,VUT,7.1,0,5.7,8.6,1.1,5.4,0,0,0,3.1,3.8,no estimate,9.5,5.7,0,1.1,2,7.9,1.8,3.9,2.2,4.2,5.4,5.4,5.4,6.6,5.3,9.8,7.2,6.4,4.4
Venezuela,VEN,8,6.3,0.5,0.7,0.9,4.1,6.1,0,4.2,4.2,2.9,5.6,0,2.8,6.4,0.7,1,0,3.6,1.4,4.4,3.6,5.5,7.6,6.5,2.9,3.9,5.6,4.1,5.5,4.4
Benin,BEN,0,9.8,0,0,0,3.9,1.6,0,1.1,2.6,7,5.8,3.4,5.8,0,4.5,5.5,0.3,4,3.8,2.1,4.2,no estimate,6.3,6.3,8.1,7.7,8.9,8.3,7.4,4.3
Sierra Leone,SLE,0,4.6,0,0,0.6,1.2,3.7,0,2.6,1.9,8,5.6,5.9,6.9,2.1,7.2,7.4,0.3,6.3,5.9,4.2,5.7,3.5,7.1,5.3,9.1,8.8,8.1,8.7,7.3,4.3
Lao PDR,LAO,3.7,9.8,0,0.7,1.4,4.7,2.3,0,1.6,3.3,4.6,5,2.8,4.3,2.5,3.3,5.7,1.1,6.2,4.4,3.5,3.9,4.3,7,5.6,5.7,6.2,8.8,6.9,6.3,4.3
Cameroon,CMR,1,6.8,0,0,2.8,2.6,2.5,0,1.7,2.2,5.7,5.9,1.3,4.7,6.1,7.8,5.5,0.1,3.1,4.7,5.5,5.1,no estimate,7.1,7.1,6.7,7,8,7.2,7.2,4.3
Togo,TGO,0,4.8,0,0,0,1.2,4.2,0,2.9,2.1,6.1,5.6,3.6,5.3,4.2,5,5.5,0,5,4.2,4.2,4.8,5.8,7.4,6.6,7.8,8.8,8.9,8.5,7.7,4.3
Thailand,THA,3.4,10,3.4,1.3,5.3,5.9,7.4,0,5.2,5.6,1.9,4.2,0,2,5.7,1.7,1.3,5.1,3.3,3,4.5,3.4,3.5,5.5,4.5,3.5,3.1,4.6,3.7,4.1,4.3
Ecuador,ECU,9,5.7,10,0,2.2,7,1.1,0,0.7,4.6,3.7,5.9,0.3,3.4,6.1,1,1.6,0.2,3.7,1.7,4.3,3.8,2.8,6.2,4.5,3.4,4.5,5,4.3,4.4,4.3
Guinea-Bissau,GNB,0,2.8,0,0,2.4,1.1,3,0,2.1,1.6,8.4,2.6,4.4,6,3.9,7.8,6.7,0,4.6,5.4,4.7,5.4,9.9,8,9,8,7.8,9.2,8.3,8.7,4.2
Georgia,GEO,8,6.4,0,0,2.5,4.2,5.6,0,3.9,4.1,1.8,4.3,4.2,3,8,1.2,0.6,0.8,3.3,1.6,5.7,4.5,5.3,4.5,4.9,3.4,3.1,3.3,3.2,4.1,4.2
South Africa,ZAF,0.3,5.3,5,0,4.8,3.4,7.1,0,5,4.3,2.8,7.8,0.6,3.5,4.2,6.7,2.7,0.1,2.4,3.4,3.8,3.7,no estimate,5,5,3.3,4,6.7,4.6,4.8,4.2
Malawi,MWI,3.8,5.5,0,0,5.2,3.3,0.5,0,0.4,1.9,7.1,6.3,6.3,6.7,2.5,6.3,4.1,3.4,5.2,4.9,3.8,5.4,4.5,6.2,5.3,8.6,7.4,7.4,7.8,6.7,4.1
Rwanda,RWA,4.1,4.8,0,0,4.1,2.9,2.3,0,1.6,2.3,6.4,6,6,6.2,5.7,3.7,3.3,0,6.9,3.9,4.9,5.6,3.5,4.9,4.2,7.7,5.5,6.7,6.6,5.5,4.1
Korea DPR,PRK,0,8.3,0,1.9,2.3,3.4,1.7,0,1.2,2.3,7.1,no estimate,0.2,4.8,0,4.6,3.1,4.9,8.9,5.9,3.5,4.2,no estimate,9,9,5.8,3.7,0,3.2,7,4.1
Zambia,ZMB,1.3,4.3,0,0,3.7,2,2.9,0,2,2,5.7,8.2,3,5.6,3.7,8.7,5,0,6.8,5.9,4.9,5.3,3.5,6.1,4.8,7.5,7.7,6.9,7.4,6.3,4.1
Jordan,JOR,6.5,2.8,0,0,3.7,3,2.3,0,1.6,2.3,1.7,4.6,6.5,3.6,9.7,0.2,1.1,0,1.1,0.6,7.3,5.8,6.1,5.4,5.7,2.5,3.5,4.1,3.4,4.7,4
Honduras,HND,6.6,6.3,4.2,4.1,4.6,5.3,3.2,0,2.2,3.9,3.6,7.2,2.6,4.2,0,0.8,1.6,0.6,2.9,1.5,0.8,2.7,5.2,6.9,6.1,4.7,4.5,6.5,5.2,5.7,3.9
Swaziland,SWZ,0,2.8,0,0,4.7,1.7,3.6,0,2.5,2.1,4.6,6.8,2.5,4.6,1.3,6.7,3.9,0,7.1,4.9,3.3,4,8.3,6,7.1,5.8,6.2,7,6.3,6.8,3.9
Dominican Republic,DOM,8.6,8.2,0,10,0.6,7.1,2.4,0,1.7,5,2.3,6.1,0.6,2.8,0.8,1.1,1.5,0.2,4.5,2,1.4,2.2,4.7,6.5,5.6,3.4,4.7,6.7,4.9,5.3,3.8
Lesotho,LSO,0,3.5,0,0,5,2,1.5,0,1.1,1.5,5.7,7.1,6.1,6.2,0,8.9,5.3,8.7,3.4,7.2,4.5,5.4,7.9,5.4,6.7,7.4,6.8,6.5,6.9,6.8,3.8
Fiji,FJI,4.9,0,9.6,9.5,1.9,6.8,0,0,0,4.2,3.5,4.5,3.1,3.6,0,0.5,1.8,0.8,2,1.3,0.7,2.3,5.8,6.9,6.4,5.9,3.7,6.1,5.2,5.8,3.8
Moldova Republic of,MDA,6.3,5.7,0,0,4.6,3.8,6,0,4.2,4,2.5,3,4.6,3.2,3,3,0.9,0.1,2.4,1.7,2.4,2.8,6.2,6.1,6.2,3.4,3.2,3.8,3.5,5,3.8
Nicaragua,NIC,9.5,4.1,1.4,3.8,3,5.3,2.9,0,2,3.8,3.5,5,3.8,4,0,0.5,1.5,0.4,4.1,1.8,0.9,2.6,4.7,6.9,5.8,5.3,5.8,4.5,5.2,5.5,3.8
Namibia,NAM,0,3.8,0,0,7,2.7,1.4,0,1,1.9,4.2,7.9,3,4.8,2.2,7.2,3.9,7.7,7.4,6.7,4.9,4.9,4.3,4.9,4.6,6,6.3,7.7,6.6,5.7,3.7
Bhutan,BTN,7.1,9.1,0,0,0,4.7,0.1,0,0.1,2.7,4.1,5,7.1,5.1,0,1.5,2.8,0,4.1,2.2,1.2,3.4,6.4,4,5.2,7.3,5,6.7,6.3,5.8,3.7
Serbia,SRB,6.5,8.8,0,0,0.6,4.4,2.7,0,1.9,3.2,1.7,1.2,4.4,2.3,7,0.4,0.5,0.4,2.7,1,4.7,3.6,5,5.2,5.1,3.7,2.4,4.6,3.6,4.4,3.7
El Salvador,SLV,7.4,4.4,9.5,0,2.8,5.9,1.5,0,1,3.9,4.4,5.9,1.1,4,0,0.6,1.3,0,4,1.6,0.8,2.5,5.2,5.7,5.4,3.7,4.4,5.4,4.5,5,3.7
Bolivia,BOL,5.9,6.6,0,0,4,3.8,3.2,0,2.2,3.1,3.1,7.1,2.2,3.9,0.8,1.5,2,1.4,4.4,2.4,1.7,2.8,5.6,6.2,5.9,4,6,6.5,5.5,5.7,3.7
Viet Nam,VNM,3.1,10,8.4,8.5,3.4,7.7,1.7,0,1.2,5.3,2.9,3.5,1.8,2.8,0,1.6,3.2,0.1,3.4,2.2,1.1,2,4.4,6.2,5.3,2.6,3.5,5.7,3.9,4.7,3.7
Kyrgyzstan,KGZ,9.6,5.4,0,0,5.2,5.4,3.5,0,2.5,4.1,2.9,3.4,4.2,3.4,0.9,1.5,1.3,0,2,1.2,1.1,2.3,5,7,6,4,4.1,4.6,4.2,5.2,3.6
Liberia,LBR,0,3.6,0,0,0.6,0.9,1.3,0,0.9,0.9,8,6,8.6,7.7,6.1,6,5,0,7.1,5,5.6,6.7,no estimate,6.9,6.9,8.6,7.9,7.3,8,7.5,3.6
Turkmenistan,TKM,7.8,5.2,0,0,3.3,4,1.3,0,0.9,2.6,3.9,no estimate,0.2,2.6,2.5,0.9,4.2,0,1.2,1.7,2.1,2.4,no estimate,8,8,5.2,5.2,4.7,5.1,6.7,3.5
Comoros,COM,0,0,6.1,0.3,1.1,1.9,0.1,0,0.1,1,7.1,9.8,5.6,7.4,0,4.5,6,3.1,4.8,4.7,2.7,5.5,7.8,7.5,7.6,7.6,5.2,6.8,6.5,7.1,3.4
